n_txns,n_deposit,n_borrow,n_repay,n_redeem,n_liquidation,total_deposit_amount,total_borrow_amount,total_repay_amount,avg_txn_amount,active_days,asset_diversity,borrow_to_repay_ratio,rule_score
1,1,0,0,0,0,1.843331e-12,0.0,0.0,1.843331e-12,1,1,0.0,562.36
9,3,0,0,6,0,4.9613617892e-08,0.0,0.0,1.1026406574333335e-08,8,1,0.0,567.84
28,7,13,0,7,1,38.63706220943506,63.04403429841318,0.0,4.194909779886471,9,6,0.0,544.94
1,1,0,0,0,0,1.1e-12,0.0,0.0,1.1e-12,1,1,0.0,562.36
610,328,100,76,106,0,1484552.936699508,1258220.7674541378,1.4237148516670001e-06,4530.630672267246,52,8,1.13153024373186e-12,703.65
2,1,1,0,0,0,0.0325,0.005,0.0,0.01875,1,1,0.0,562.4
6,2,0,0,4,0,9960.000000008995,0.0,0.0,3160.0000000039977,2,3,0.0,574.69
177,131,22,12,12,0,397751.95071961003,5000.000000323201,5000.087055004989,2339.7719190946514,66,7,1.000017410736353,698.34
13,4,5,4,0,0,1730.0,8.85864724e-10,8.860274970000001e-10,133.07692307705935,3,3,0.0008852432911961719,577.75
2,2,0,0,0,0,2.105972e-12,0.0,0.0,1.052986e-12,2,1,0.0,563.15
43,39,3,0,1,0,403.6479248781379,72.50002020928937,0.0,11.073208025291331,27,4,0.0,590.23
4,2,0,0,2,0,1.41678625e-10,0.0,0.0,7.094735275e-11,3,2,0.0,563.93
4,0,1,0,0,3,0.0,7.35469e-13,0.0,1.8386725e-13,4,2,0.0,479.81
1,1,0,0,0,0,1.626066e-12,0.0,0.0,1.626066e-12,1,1,0.0,562.36
1,1,0,0,0,0,0.006308462378533841,0.0,0.0,0.006308462378533841,1,1,0.0,562.37
6,0,1,3,2,0,0.0,1.705879701e-09,3.412015169e-09,833.9640290000061,2,2,0.00340620459372611,566.72
31,6,9,8,8,0,12.468633909189139,1.73497e-08,1.4071128198e-08,0.8045054154671719,16,3,0.01383116169199244,587.26
2,2,0,0,0,0,0.0002,0.0,0.0,0.0001,1,1,0.0,562.36
144,59,50,16,19,0,1041.4436621635264,513.2498204372299,1.0693208e-09,10.797675789474063,9,4,2.083431411638157e-12,594.93
1,1,0,0,0,0,10.0,0.0,0.0,10.0,1,1,0.0,565.37
39,19,3,4,13,0,2083.82864231659,1.7e-08,1.7023583187e-08,75.05930412965098,9,5,0.016739019849557522,583.94
144,87,40,0,17,0,3.008160047099999e-08,7.7401677883293205,0.0,0.053751165478652864,48,2,0.0,599.14
2,1,0,0,1,0,9.770602e-12,0.0,0.0,9.770602500000001e-12,1,1,0.0,562.36
6,6,0,0,0,0,1156.0,0.0,0.0,192.66666666666666,5,2,0.0,574.34
1,1,0,0,0,0,0.5,0.0,0.0,0.5,1,1,0.0,562.87
154,43,34,55,22,0,3035.9001840628102,871.319800000607,655.1913297126152,30.213447410671677,33,7,0.7519527605825164,703.03
2,1,0,0,1,0,9.10459721e-09,0.0,0.0,9.104597839e-09,1,1,0.0,562.36
1,1,0,0,0,0,1.1067e-12,0.0,0.0,1.1067e-12,1,1,0.0,562.36
1,1,0,0,0,0,0.00442807546380059,0.0,0.0,0.00442807546380059,1,1,0.0,562.37
3,2,0,0,1,0,2.0833601e-11,0.0,0.0,1.3890882666666667e-11,3,1,0.0,563.93
30,29,0,0,1,0,135.09901083194157,0.0,0.0,4.503634070293113,27,3,0.0,588.87
8,7,0,0,1,0,128.224,0.0,0.0,16.028000000050106,7,3,0.0,573.15
12,3,5,3,1,0,6.125292574661702,2.22506e-09,2.226910929e-09,1.0208821068206821,7,3,0.0022219669192865723,573.0
2,1,0,0,1,0,1.040000838e-09,0.0,0.0,1.040000849e-09,1,1,0.0,562.36
67,33,13,6,15,0,96.01353562399687,30.00000000098,30.07754107128233,6.2449860672254065,18,7,1.0025846689238376,643.85
49,10,23,7,9,0,18.514774119640528,4500.00000003263,100.00000000163031,94.25968926845962,22,6,0.022222222217485106,591.98
6,1,1,1,3,0,262.4,2.23270563e-10,2.23289236e-10,43.733333334249345,3,3,0.0002232393932149931,572.03
1,1,0,0,0,0,1.106565e-12,0.0,0.0,1.106565e-12,1,1,0.0,562.36
1,1,0,0,0,0,1.108121e-12,0.0,0.0,1.108121e-12,1,1,0.0,562.36
